ID,Nom,Année de sortie,Classification,Durée,Genre,Note,Nombre de votant,Revenus
179,La mélodie du bonheur,(1965),Tous publics,172 min,"Biography, Drama, Family","8,1",244 080,$163.21M
180,Raging Bull,(1980),12,129 min,"Biography, Drama, Sport","8,1",362 456,$23.38M
181,12 Years a Slave,(2013),Tous publics avec avertissement,134 min,"Biography, Drama, History","8,1",714 700,$56.67M
182,Hatchi,(2009),Tous publics,93 min,"Biography, Drama, Family","8,1",,
183,Hôtel Rwanda,(2004),Tous Public,121 min,"Biography, Drama, History","8,1",361 493,$23.53M
184,Au nom du père,(1993),Tous publics,133 min,"Biography, Crime, Drama","8,1",179 590,$25.01M
185,Le message,(1976),Tous Public,177 min,"Biography, Drama, History","8,1",,
186,Andreï Roublev,(1966),,205 min,"Biography, Drama, History","8,1",55 133,$0.10M
187,Major,(2022),,150 min,"Action, Biography, Drama","8,1",,
188,Le discours d'un roi,(2010),Tous publics,118 min,"Biography, Drama, History","8,0",691 149,$138.80M
189,Imitation Game,(2014),Tous publics,114 min,"Biography, Drama, Thriller","8,0",787 693,$91.13M
190,À la recherche du bonheur,(2006),Tous publics,117 min,"Biography, Drama","8,0",529 526,$163.57M
191,Un après-midi de chien,(1975),Tous publics,125 min,"Biography, Crime, Drama","8,0",263 355,$50.00M
192,Lion,(2016),Tous publics,118 min,"Biography, Drama","8,0",242 319,$51.74M
193,Butch Cassidy et le Kid,(1969),Tous publics,110 min,"Biography, Crime, Drama","8,0",220 501,$102.31M
194,Papillon,(1973),Tous publics,151 min,"Biography, Crime, Drama","8,0",133 961,$53.27M
195,Ip man,(2008),12,106 min,"Action, Biography, Drama","8,0",,
196,De l'ombre à la lumière,(2005),Tous publics,144 min,"Biography, Drama, Romance","8,0",192 108,$61.65M
197,Gandhi,(1982),Tous publics,191 min,"Biography, Drama, History","8,0",236 063,$52.77M
198,Une histoire vraie,(1999),Tous publics,112 min,"Biography, Drama","8,0",93 032,$6.20M
199,Le miroir,(1975),Tous Public,107 min,"Biography, Drama","8,0",49 050,$0.18M
200,Hababam Sinifi,(1975),,87 min,"Comedy, Drama","9,2",,
201,777 Charlie,(2022),,164 min,"Adventure, Comedy, Drama","8,8",,
202,La vie est belle,(1997),Tous publics,116 min,"Comedy, Drama, Romance","8,6",709 849,$57.60M
203,Retour vers le futur,(1985),Tous publics,116 min,"Adventure, Comedy, Sci-Fi","8,5",1 235 665,$210.61M
204,Intouchables,(2011),Tous publics,112 min,"Biography, Comedy, Drama","8,5",879 758,$13.18M
205,Les temps modernes,(1936),Tous publics,87 min,"Comedy, Drama, Romance","8,5",247 883,$0.16M
206,Les lumières de la ville,(1931),Tous publics,87 min,"Comedy, Drama, Romance","8,5",188 279,$0.02M
207,Spider-Man: New Generation,(2018),Tous publics,117 min,"Animation, Action, Adventure","8,4",560 624,$190.24M
208,Coco,(I) (2017),Tous publics,105 min,"Animation, Adventure, Comedy","8,4",531 894,$209.73M
209,Dr. Folamour ou : Comment j'ai appris à ne plus m'en faire et à aimer la bombe !,(1964),Tous publics,95 min,"Comedy, War","8,4",499 657,$0.28M
210,3 Idiots,(2009),Tous publics,170 min,"Comedy, Drama","8,4",410 064,$6.53M
211,Le dictateur,(1940),Tous publics,125 min,"Comedy, Drama, War","8,4",228 330,$0.29M
212,Dil Bechara,(2020),,101 min,"Comedy, Drama, Romance","8,4",,
213,Les Gardiens de la Galaxie 3,(2023),Tous publics,150 min,"Action, Adventure, Comedy","8,3",,
214,Toy Story,(1995),Tous publics,81 min,"Animation, Adventure, Comedy","8,3",1 015 842,$191.80M
215,Chantons sous la pluie,(1952),Tous publics,103 min,"Comedy, Musical, Romance","8,3",248 483,$8.82M
216,Là-haut,(2009),Tous publics,96 min,"Animation, Adventure, Comedy","8,3",1 067 109,$293.00M
217,Le fabuleux destin d'Amélie Poulain,(2001),Tous publics,122 min,"Comedy, Romance","8,3",768 701,$33.23M
218,Toy Story 3,(2010),Tous publics,103 min,"Animation, Adventure, Comedy","8,3",853 369,$415.00M
219,L'Arnaque,(1973),Tous publics,129 min,"Comedy, Crime, Drama","8,3",269 163,$159.60M
220,La garçonnière,(1960),Tous publics,125 min,"Comedy, Drama, Romance","8,3",186 259,$18.60M
221,Le Kid,(1921),Tous publics,68 min,"Comedy, Drama, Family","8,3",129 098,$5.45M
222,Chhichhore,(2019),,143 min,"Comedy, Drama, Romance","8,3",57 577,$0.90M
223,Le loup de Wall Street,(2013),12,180 min,"Biography, Comedy, Crime","8,2",1 458 625,$116.90M
224,Snatch - Tu braques ou tu raques,(2000),Tous publics,104 min,"Comedy, Crime","8,2",872 553,$30.33M
225,Green Book: Sur les routes du sud,(2018),Tous publics,130 min,"Biography, Comedy, Drama","8,2",517 122,$85.08M
226,The Truman Show,(1998),Tous publics,103 min,"Comedy, Drama","8,2",1 114 175,$125.62M
227,Le Monde de Nemo,(2003),Tous publics,100 min,"Animation, Adventure, Comedy","8,2",1 064 492,$380.84M
228,Monty Python : Sacré Graal !,(1975),Tous publics,91 min,"Adventure, Comedy, Fantasy","8,2",551 022,$1.23M
229,Certains l'aiment chaud,(1959),12,121 min,"Comedy, Music, Romance","8,2",272 709,$25.00M
230,La légende de Klaus,(2019),7,96 min,"Animation, Adventure, Comedy","8,2",,
231,On ne vit qu'une seule fois,(2011),,155 min,"Comedy, Drama, Musical","8,2",81 196,$3.11M
232,Jeu dangereux,(1942),Tous publics,99 min,"Comedy, Romance, War","8,2",,
233,Gangs of Wasseypur,(2012),Tous publics avec avertissement,321 min,"Action, Comedy, Crime","8,2",,
234,Sherlock Junior,(1924),Tous publics,45 min,"Action, Comedy, Romance","8,2",52 260,$0.98M
235,The Grand Budapest hotel,(2014),Tous publics,99 min,"Adventure, Comedy, Crime","8,1",836 342,$59.10M
236,The Big Lebowski,(1998),Tous publics,117 min,"Comedy, Crime","8,1",825 790,$17.50M
237,Ratatouille,(2007),Tous publics,111 min,"Animation, Adventure, Comedy","8,1",763 898,$206.45M
238,Le Cercle des poètes disparus,(1989),Tous publics,128 min,"Comedy, Drama","8,1",508 349,$95.86M
239,3 Billboards: Les panneaux de la vengeance,(2017),Tous publics,115 min,"Comedy, Crime, Drama","8,1",524 867,$54.51M
240,Vice-versa,(I) (2015),Tous publics,95 min,"Animation, Adventure, Comedy","8,1",734 398,$356.46M
241,Monstres & Cie,(2001),Tous publics,92 min,"Animation, Adventure, Comedy","8,1",930 114,$289.92M
242,"Arnaques, crimes et botanique",(1998),Tous publics,107 min,"Action, Comedy, Crime","8,1",594 229,$3.90M
243,Dragons,(2010),Tous publics,98 min,"Animation, Action, Adventure","8,1",759 575,$217.58M
244,Les Nouveaux Sauvages,(2014),Tous publics avec avertissement,122 min,"Comedy, Drama, Thriller","8,1",204 730,$3.11M
245,Mon voisin Totoro,(1988),Tous publics,86 min,"Animation, Comedy, Family","8,1",351 604,$1.11M
246,Le géant de fer,(1999),Tous publics,86 min,"Animation, Action, Adventure","8,1",208 262,$23.16M
247,La barbe à papa,(1973),Tous Public,102 min,"Comedy, Crime, Drama","8,1",49 628,$30.93M
248,P.K.,(2014),13,153 min,"Comedy, Drama, Sci-Fi","8,1",192 808,$10.62M
249,Mary et Max.,(2009),Tous Public,92 min,"Animation, Comedy, Drama","8,1",,
250,Le Parrain,(1972),12,175 min,"Crime, Drama","9,2",1 904 825,$134.97M
251,The Dark Knight : Le Chevalier noir,(2008),Tous publics,152 min,"Action, Crime, Drama","9,0",2 712 245,$534.86M
252,"Le Parrain, 2ᵉ partie",(1974),13,202 min,"Crime, Drama","9,0",1 298 312,$57.30M
253,12 Hommes en colère,(1957),Tous publics,96 min,"Crime, Drama","9,0",810 784,$4.36M
254,Aynabaji,(2016),,147 min,"Crime, Mystery, Thriller","9,0",,
255,Pulp Fiction,(1994),12,154 min,"Crime, Drama","8,9",2 104 943,$107.93M
256,Jai Bhim,(2021),,164 min,"Crime, Drama, Mystery","8,8",,
257,Les affranchis,(1990),16,145 min,"Biography, Crime, Drama","8,7",1 188 870,$46.84M
258,La ligne verte,(1999),12,189 min,"Crime, Drama, Fantasy","8,6",1 332 120,$136.80M
259,Seven,(1995),12,127 min,"Crime, Drama, Mystery","8,6",1 693 649,$100.13M
260,Le Silence des agneaux,(1991),16,118 min,"Crime, Drama, Thriller","8,6",1 464 550,$130.74M
261,La cité de Dieu,(2002),16,130 min,"Crime, Drama","8,6",769 658,$7.56M
262,Léon,(1994),12,110 min,"Action, Crime, Drama","8,5",1 186 803,$19.50M
263,Les infiltrés,(2006),Tous publics avec avertissement,151 min,"Crime, Drama, Thriller","8,5",1 353 433,$132.38M
264,Usual Suspects,(1995),Tous publics,106 min,"Crime, Drama, Mystery","8,5",1 102 763,$23.34M
265,American History X,(1998),12,119 min,"Crime, Drama","8,5",1 141 545,$6.72M
266,Joker,(I) (2019),12 avec avertissement,122 min,"Crime, Drama, Thriller","8,4",1 349 046,$335.45M
267,Témoin à charge,(1957),Tous publics,116 min,"Crime, Drama, Mystery","8,4",129 227,$8.18M
268,Kaithi,(2019),18,145 min,"Action, Adventure, Crime","8,4",,
269,Entre le ciel et l'enfer,(1963),Tous publics,143 min,"Crime, Drama, Mystery","8,4",,
270,Sardar Udham,(2021),16,164 min,"Biography, Crime, Drama","8,4",,
271,Drishyam 2,(2021),13,152 min,"Crime, Drama, Thriller","8,4",,
272,Heat,(1995),Tous publics avec avertissement,170 min,"Action, Crime, Drama","8,3",672 968,$67.44M
273,Scarface,(1983),13,170 min,"Crime, Drama","8,3",864 017,$45.60M
274,Orange mécanique,(1971),18,136 min,"Crime, Sci-Fi","8,3",846 488,$6.21M
275,Reservoir Dogs,(1992),16,99 min,"Crime, Thriller","8,3",1 041 006,$2.83M
276,Il était une fois en Amérique,(1984),Tous publics,229 min,"Crime, Drama","8,3",359 591,$5.32M
277,Du silence et des ombres...,(1962),12,129 min,"Crime, Drama","8,3",,
278,L'Arnaque,(1973),Tous publics,129 min,"Comedy, Crime, Drama","8,3",269 163,$159.60M
279,M le maudit,(1931),Tous publics,118 min,"Crime, Mystery, Thriller","8,3",161 461,$0.03M
280,Assurance sur la mort,(1944),Tous publics,107 min,"Crime, Drama, Film-Noir","8,3",160 581,$5.72M
281,K.G.F: Chapter 2,(2022),13,168 min,"Action, Crime, Drama","8,3",139 278,$6.60M
282,Vikram,(2022),,175 min,"Action, Crime, Thriller","8,3",,
283,Ratsasan,(2018),,170 min,"Action, Crime, Drama","8,3",,
284,Drishyam,(2013),,160 min,"Crime, Drama, Thriller","8,3",,
285,John Wick: Chapitre 4,(2023),12,169 min,"Action, Crime, Thriller","8,2",,
286,Le loup de Wall Street,(2013),12,180 min,"Biography, Comedy, Crime","8,2",1 458 625,$116.90M
287,Taxi Driver,(1976),16,114 min,"Crime, Drama","8,2",861 504,$28.26M
288,No Country for Old Men,(2007),12,122 min,"Crime, Drama, Thriller","8,2",999 284,$74.28M
289,Snatch - Tu braques ou tu raques,(2000),Tous publics,104 min,"Comedy, Crime","8,2",872 553,$30.33M
290,Casino,(1995),12,178 min,"Crime, Drama","8,2",533 499,$42.44M
291,Kill Bill: Volume I,(2003),16,111 min,"Action, Crime, Drama","8,2",1 138 718,$70.10M
292,Batman Begins,(2005),Tous publics,140 min,"Action, Crime, Drama","8,2",1 500 330,$206.85M
293,L.A. Confidential,(1997),Tous publics,138 min,"Crime, Drama, Mystery","8,2",592 351,$64.62M
294,Drishyam 2,(2022),13,140 min,"Crime, Drama, Mystery","8,2",,
295,Rashomon,(1950),Tous Public,88 min,"Crime, Drama, Mystery","8,2",172 437,$0.10M
296,Le crime était presque parfait,(1954),Tous publics,105 min,"Crime, Thriller","8,2",180 261,$0.01M
297,Z,(1969),Tous publics,127 min,"Crime, Drama, Thriller","8,2",29 926,$0.08M
298,Drishyam,(2015),18,163 min,"Crime, Drama, Mystery","8,2",88 293,$0.74M
299,Andhadhun,(2018),,139 min,"Crime, Mystery, Thriller","8,2",96 902,$1.37M
300,Les Évadés,(1994),Tous publics avec avertissement,142 min,Drama,"9,3",2 739 193,$28.34M
301,Le Parrain,(1972),12,175 min,"Crime, Drama","9,2",1 904 825,$134.97M
302,Hababam Sinifi,(1975),,87 min,"Comedy, Drama","9,2",,
303,The Dark Knight : Le Chevalier noir,(2008),Tous publics,152 min,"Action, Crime, Drama","9,0",2 712 245,$534.86M
304,La liste de Schindler,(1993),Tous publics,195 min,"Biography, Drama, History","9,0",1 382 532,$96.90M
305,"Le Parrain, 2ᵉ partie",(1974),13,202 min,"Crime, Drama","9,0",1 298 312,$57.30M
306,12 Hommes en colère,(1957),Tous publics,96 min,"Crime, Drama","9,0",810 784,$4.36M
307,Le Seigneur des anneaux : Le Retour du roi,(2003),Tous publics avec avertissement,201 min,"Action, Adventure, Drama","9,0",1 883 515,$377.85M
308,Pulp Fiction,(1994),12,154 min,"Crime, Drama","8,9",2 104 943,$107.93M
309,Le Seigneur des anneaux : La Communauté de l'anneau,(2001),Tous publics,178 min,"Action, Adventure, Drama","8,8",1 912 302,$315.54M
310,Fight Club,(1999),16,139 min,Drama,"8,8",2 181 210,$37.03M
311,Forrest Gump,(1994),Tous publics,142 min,"Drama, Romance","8,8",2 131 456,$330.25M
312,Le Seigneur des anneaux : Les Deux Tours,(2002),Tous publics avec avertissement,179 min,"Action, Adventure, Drama","8,8",1 700 210,$342.55M
313,Jai Bhim,(2021),,164 min,"Crime, Drama, Mystery","8,8",,
314,777 Charlie,(2022),,164 min,"Adventure, Comedy, Drama","8,8",,
315,Rocketry: The Nambi Effect,(2022),,157 min,"Biography, Drama","8,8",,
316,Les affranchis,(1990),16,145 min,"Biography, Crime, Drama","8,7",1 188 870,$46.84M
317,Vol au-dessus d'un nid de coucou,(1975),Tous publics avec avertissement,133 min,Drama,"8,7",1 026 961,$112.00M
318,The Kashmir Files,(2022),,170 min,Drama,"8,7",,
319,Soorarai Pottru,(2020),18,153 min,"Action, Drama","8,7",,
320,Interstellar,(2014),Tous publics,169 min,"Adventure, Drama, Sci-Fi","8,6",1 903 425,$188.02M
321,La ligne verte,(1999),12,189 min,"Crime, Drama, Fantasy","8,6",1 332 120,$136.80M
322,Seven,(1995),12,127 min,"Crime, Drama, Mystery","8,6",1 693 649,$100.13M
323,Le Silence des agneaux,(1991),16,118 min,"Crime, Drama, Thriller","8,6",1 464 550,$130.74M
324,Il faut sauver le soldat Ryan,(1998),Tous publics avec avertissement,169 min,"Drama, War","8,6",1 420 636,$216.54M
325,La cité de Dieu,(2002),16,130 min,"Crime, Drama","8,6",769 658,$7.56M
326,La vie est belle,(1997),Tous publics,116 min,"Comedy, Drama, Romance","8,6",709 849,$57.60M
327,Les 7 Samouraïs,(1954),Tous publics,207 min,"Action, Drama","8,6",352 241,$0.27M
328,La vie est belle,(1946),Tous publics,130 min,"Drama, Family, Fantasy","8,6",,
329,Harakiri,(1962),Tous publics,133 min,"Action, Drama, Mystery","8,6",,
330,Sita Ramam,(2022),,163 min,"Action, Drama, Mystery","8,6",,
331,Léon,(1994),12,110 min,"Action, Crime, Drama","8,5",1 186 803,$19.50M
332,Parasite,(2019),Tous publics avec avertissement,132 min,"Drama, Thriller","8,5",850 664,$53.37M
333,Les infiltrés,(2006),Tous publics avec avertissement,151 min,"Crime, Drama, Thriller","8,5",1 353 433,$132.38M
334,Gladiator,(2000),Tous publics avec avertissement,155 min,"Action, Adventure, Drama","8,5",1 533 090,$187.71M
335,Whiplash,(2014),Tous publics,106 min,"Drama, Music","8,5",901 237,$13.09M
336,Le Prestige,(2006),Tous publics,130 min,"Drama, Mystery, Sci-Fi","8,5",1 361 706,$53.09M
337,Le Roi Lion,(1994),Tous publics,88 min,"Animation, Adventure, Drama","8,5",1 082 777,$422.78M
338,Usual Suspects,(1995),Tous publics,106 min,"Crime, Drama, Mystery","8,5",1 102 763,$23.34M
339,Le pianiste,(2002),Tous publics,150 min,"Biography, Drama, Music","8,5",853 992,$32.57M
340,American History X,(1998),12,119 min,"Crime, Drama","8,5",1 141 545,$6.72M
341,Intouchables,(2011),Tous publics,112 min,"Biography, Comedy, Drama","8,5",879 758,$13.18M
342,Casablanca,(1942),Tous publics,102 min,"Drama, Romance, War","8,5",582 530,$1.02M
343,Le tombeau des lucioles,(1988),Tous publics,89 min,"Animation, Drama, War","8,5",,
344,Cinéma Paradiso,(1988),Tous publics,155 min,"Drama, Romance","8,5",267 863,$11.99M
345,Les temps modernes,(1936),Tous publics,87 min,"Comedy, Drama, Romance","8,5",247 883,$0.16M
346,Les lumières de la ville,(1931),Tous publics,87 min,"Comedy, Drama, Romance","8,5",188 279,$0.02M
347,96,(II) (2018),Tous Public,158 min,"Drama, Romance","8,5",,
348,Avengers: Endgame,(2019),Tous publics,181 min,"Action, Adventure, Drama","8,4",1 175 410,$858.37M
349,Joker,(I) (2019),12 avec avertissement,122 min,"Crime, Drama, Thriller","8,4",1 349 046,$335.45M
350,Le voyage de Chihiro,(2001),Tous publics,125 min,"Animation, Adventure, Family","8,6",787 478,$10.06M
351,La vie est belle,(1946),Tous publics,130 min,"Drama, Family, Fantasy","8,6",,
352,Le Roi Lion,(1994),Tous publics,88 min,"Animation, Adventure, Drama","8,5",1 082 777,$422.78M
353,Spider-Man: New Generation,(2018),Tous publics,117 min,"Animation, Action, Adventure","8,4",560 624,$190.24M
354,Coco,(I) (2017),Tous publics,105 min,"Animation, Adventure, Comedy","8,4",531 894,$209.73M
355,WALL·E,(2008),Tous publics,98 min,"Animation, Adventure, Family","8,4",1 140 441,$223.81M
356,Toy Story,(1995),Tous publics,81 min,"Animation, Adventure, Comedy","8,3",1 015 842,$191.80M
357,Là-haut,(2009),Tous publics,96 min,"Animation, Adventure, Comedy","8,3",1 067 109,$293.00M
