ID,Nom,Année de sortie,Classification,Durée,Genre,Note,Nombre de votant,Revenus
382,Aladdin,(1992),Tous publics,90 min,"Animation, Adventure, Comedy","8,0",435 318,$217.35M
383,Soul,(2020),6+,100 min,"Animation, Adventure, Comedy","8,0",,
384,La Belle et la Bête,(1991),Tous publics,84 min,"Animation, Family, Fantasy","8,0",463 590,$218.97M
385,Le peuple loup,(2020),Tous publics,103 min,"Animation, Action, Adventure","8,0",,
386,Un violon sur le toit,(1971),Tous Public,181 min,"Drama, Family, Musical","8,0",45 334,$80.50M
387,Le Château dans le ciel,(1986),Tous publics,125 min,"Animation, Adventure, Family","8,0",,
388,Le chant de la mer,(2014),Tous publics,93 min,"Animation, Adventure, Drama","8,0",60 474,$0.86M
389,Le conte de la princesse Kaguya,(2013),Tous publics,137 min,"Animation, Drama, Family","8,0",49 525,$1.51M
390,Le Chat potté 2 : La Dernière Quête,(2022),Tous publics,102 min,"Animation, Adventure, Comedy","7,9",126 780,$168.46M
391,Wonder,(I) (2017),Tous publics,113 min,"Drama, Family","7,9",170 063,$132.42M
392,Harry Potter et le Prisonnier d'Azkaban,(2004),Tous publics,142 min,"Adventure, Family, Fantasy","7,9",654 078,$249.36M
393,Fantastic Mr. Fox,(2009),Tous Public,87 min,"Animation, Adventure, Comedy","7,9",244 378,$21.00M
394,Shrek,(2001),Tous publics,90 min,"Animation, Adventure, Comedy","7,9",698 217,$267.67M
395,E.T. l'extra-terrestre,(1982),Tous publics,115 min,"Adventure, Family, Sci-Fi","7,9",420 121,$435.11M
396,Les dix commandements,(1956),Tous Public,220 min,"Adventure, Drama, Family","7,9",74 253,$93.74M
397,Toy Story 2,(1999),Tous publics,92 min,"Animation, Adventure, Comedy","7,9",594 433,$245.85M
398,L'étrange Noël de monsieur Jack,(1993),Tous publics,76 min,"Animation, Family, Fantasy","7,9",351 048,$75.08M
399,Togo,(2019),Tous Public,113 min,"Adventure, Biography, Drama","7,9",,
400,Le Seigneur des anneaux : Le Retour du roi,(2003),Tous publics avec avertissement,201 min,"Action, Adventure, Drama","9,0",1 883 515,$377.85M
401,Le Seigneur des anneaux : La Communauté de l'anneau,(2001),Tous publics,178 min,"Action, Adventure, Drama","8,8",1 912 302,$315.54M
402,Le Seigneur des anneaux : Les Deux Tours,(2002),Tous publics avec avertissement,179 min,"Action, Adventure, Drama","8,8",1 700 210,$342.55M
403,L'Empire contre-attaque,(1980),Tous publics,124 min,"Action, Adventure, Fantasy","8,7",1 318 505,$290.48M
404,La ligne verte,(1999),12,189 min,"Crime, Drama, Fantasy","8,6",1 332 120,$136.80M
405,Star Wars: Épisode IV - Un nouvel espoir,(1977),Tous publics,121 min,"Action, Adventure, Fantasy","8,6",1 391 036,$322.74M
406,Le voyage de Chihiro,(2001),Tous publics,125 min,"Animation, Adventure, Family","8,6",787 478,$10.06M
407,La vie est belle,(1946),Tous publics,130 min,"Drama, Family, Fantasy","8,6",,
408,Spider-Man: New Generation,(2018),Tous publics,117 min,"Animation, Action, Adventure","8,4",560 624,$190.24M
409,Your Name.,(2016),Tous publics,106 min,"Animation, Drama, Fantasy","8,4",285 185,$5.02M
410,Coco,(I) (2017),Tous publics,105 min,"Animation, Adventure, Comedy","8,4",531 894,$209.73M
411,Le Retour du Jedi,(1983),Tous publics,131 min,"Action, Adventure, Fantasy","8,3",1 075 490,$309.13M
412,Toy Story,(1995),Tous publics,81 min,"Animation, Adventure, Comedy","8,3",1 015 842,$191.80M
413,Princesse Mononoké,(1997),Tous publics,134 min,"Animation, Action, Adventure","8,3",405 758,$2.38M
414,Toy Story 3,(2010),Tous publics,103 min,"Animation, Adventure, Comedy","8,3",853 369,$415.00M
415,Spider-Man: No Way Home,(2021),Tous publics,148 min,"Action, Adventure, Fantasy","8,2",792 747,$804.75M
416,Le château ambulant,(2004),Tous publics,119 min,"Animation, Adventure, Family","8,2",410 497,$4.71M
417,Le labyrinthe de Pan,(2006),12,118 min,"Drama, Fantasy, War","8,2",680 040,$37.63M
418,Monty Python : Sacré Graal !,(1975),Tous publics,91 min,"Adventure, Comedy, Fantasy","8,2",551 022,$1.23M
419,"Demon Slayer - Kimetsu no Yaiba, le film : Le Train de l'Infini",(2020),Tous publics avec avertissement,117 min,"Animation, Action, Adventure","8,2",63 822,$47.70M
420,Tumbbad,(2018),,104 min,"Drama, Fantasy, Horror","8,2",,
421,La légende de Klaus,(2019),7,96 min,"Animation, Adventure, Comedy","8,2",,
422,Pirates des Caraïbes : La malédiction du Black Pearl,(2003),Tous publics,143 min,"Action, Adventure, Fantasy","8,1",1 151 364,$305.41M
423,Ratatouille,(2007),Tous publics,111 min,"Animation, Adventure, Comedy","8,1",763 898,$206.45M
424,Harry Potter et les Reliques de la Mort : partie 2,(2011),Tous publics,130 min,"Adventure, Family, Fantasy","8,1",898 557,$381.01M
425,Le magicien d'Oz,(1939),Tous publics,102 min,"Adventure, Family, Fantasy","8,1",409 654,$2.08M
426,Vice-versa,(I) (2015),Tous publics,95 min,"Animation, Adventure, Comedy","8,1",734 398,$356.46M
427,Monstres & Cie,(2001),Tous publics,92 min,"Animation, Adventure, Comedy","8,1",930 114,$289.92M
428,Dragons,(2010),Tous publics,98 min,"Animation, Action, Adventure","8,1",759 575,$217.58M
429,Mon voisin Totoro,(1988),Tous publics,86 min,"Animation, Comedy, Family","8,1",351 604,$1.11M
430,Le septième sceau,(1957),Tous publics,96 min,"Drama, Fantasy","8,1",,
431,Underground,(1995),,170 min,"Comedy, Drama, Fantasy","8,1",59 570,$0.17M
432,"Les enfants loups, Ame & Yuki",(2012),Tous publics,117 min,"Animation, Drama, Family","8,1",,
433,Le temps des gitans,(1988),,142 min,"Comedy, Crime, Drama","8,1",31 656,$0.28M
434,OMG: Oh My God!,(2012),,125 min,"Comedy, Drama, Fantasy","8,1",60 609,$0.92M
435,Princess Bride,(1987),Tous publics,98 min,"Adventure, Comedy, Family","8,0",435 489,$30.86M
436,Zack Snyder's Justice League,(2021),12,242 min,"Action, Adventure, Fantasy","8,0",,
437,Big Fish,(2003),Tous Public,125 min,"Adventure, Drama, Fantasy","8,0",447 774,$66.26M
438,Aladdin,(1992),Tous publics,90 min,"Animation, Adventure, Comedy","8,0",435 318,$217.35M
439,Soul,(2020),6+,100 min,"Animation, Adventure, Comedy","8,0",,
440,La Belle et la Bête,(1991),Tous publics,84 min,"Animation, Family, Fantasy","8,0",463 590,$218.97M
441,Un jour sans fin,(1993),Tous publics,101 min,"Comedy, Drama, Fantasy","8,0",649 312,$70.91M
442,Akira,(1988),12,124 min,"Animation, Action, Drama","8,0",193 128,$0.55M
443,Le peuple loup,(2020),Tous publics,103 min,"Animation, Action, Adventure","8,0",,
444,Pink Floyd: The Wall,(1982),12,95 min,"Drama, Fantasy, Music","8,0",82 891,$22.24M
445,Le Château dans le ciel,(1986),Tous publics,125 min,"Animation, Adventure, Family","8,0",,
446,Les ailes du désir,(1987),Tous publics,128 min,"Drama, Fantasy, Romance","8,0",73 298,$3.33M
447,Le chant de la mer,(2014),Tous publics,93 min,"Animation, Adventure, Drama","8,0",60 474,$0.86M
448,Le conte de la princesse Kaguya,(2013),Tous publics,137 min,"Animation, Drama, Family","8,0",49 525,$1.51M
449,L'Ange exterminateur,(1962),Tous publics,95 min,"Drama, Fantasy","8,0",,
450,Boulevard du Crépuscule,(1950),Tous publics,110 min,"Drama, Film-Noir","8,4",,
451,Assurance sur la mort,(1944),Tous publics,107 min,"Crime, Drama, Film-Noir","8,3",160 581,$5.72M
452,Le troisième homme,(1949),Tous publics,104 min,"Film-Noir, Mystery, Thriller","8,1",175 143,$0.45M
453,Rebecca,(1940),Tous publics,130 min,"Drama, Film-Noir, Mystery","8,1",140 583,$4.36M
454,Le gouffre aux chimères,(1951),Tous publics,111 min,"Drama, Film-Noir","8,1",37 386,$3.97M
455,L'enfer est à lui,(1949),16,114 min,"Action, Crime, Drama","8,1",,
456,Le faucon maltais,(1941),Tous publics,100 min,"Crime, Film-Noir, Mystery","8,0",162 045,$2.11M
457,La nuit du chasseur,(1955),Tous publics,92 min,"Crime, Drama, Film-Noir","8,0",92 175,$0.65M
458,La griffe du passé,(1947),Tous Public,97 min,"Crime, Drama, Film-Noir","8,0",,
459,La soif du mal,(1958),Tous Public,95 min,"Crime, Drama, Film-Noir","8,0",106 815,$2.24M
460,Le Grand Chantage,(1957),Tous publics,96 min,"Drama, Film-Noir","8,0",,
461,Le roman de Mildred Pierce,(1945),Tous Public,111 min,"Crime, Drama, Film-Noir","7,9",,
462,L'ultime razzia,(1956),Tous publics,84 min,"Crime, Drama, Film-Noir","7,9",,
463,L'Inconnu du Nord-Express,(1951),16,101 min,"Crime, Drama, Film-Noir","7,9",136 719,$7.63M
464,Les enchaînés,(1946),Tous publics,102 min,"Drama, Film-Noir, Romance","7,9",103 515,$10.46M
465,Le grand sommeil,(1946),Tous publics,114 min,"Crime, Film-Noir, Mystery","7,9",87 874,$6.54M
466,Laura,(1944),Tous publics,88 min,"Drama, Film-Noir, Mystery","7,9",49 036,$4.36M
467,Le violent,(1950),12,94 min,"Drama, Film-Noir, Mystery","7,9",,
468,Le poison,(1945),Tous Public,101 min,"Drama, Film-Noir","7,9",38 574,$9.46M
469,Règlement de comptes,(1953),,89 min,"Crime, Film-Noir, Thriller","7,9",,
470,Le port de l'angoisse,(1944),Tous Public,100 min,"Adventure, Comedy, Film-Noir","7,8",,
471,L'ombre d'un doute,(1943),Tous publics,108 min,"Film-Noir, Thriller","7,8",,
472,Quand la ville dort,(1950),16,112 min,"Crime, Drama, Film-Noir","7,8",,
473,Key Largo,(1948),,100 min,"Action, Crime, Drama","7,7",,
474,Scarface,(1932),Tous publics,93 min,"Action, Crime, Drama","7,7",,
475,Gilda,(1946),Tous publics,110 min,"Drama, Film-Noir, Romance","7,6",,
476,La Maison du docteur Edwardes,(1945),Tous publics,111 min,"Film-Noir, Mystery, Romance","7,5",50 144,$7.00M
477,La dame de Shanghai,(1947),,87 min,"Crime, Drama, Film-Noir","7,5",31 641,$0.01M
478,Le faux coupable,(1956),,105 min,"Drama, Film-Noir","7,4",,
479,Soupçons,(1941),Tous publics,99 min,"Film-Noir, Mystery, Thriller","7,3",40 186,$4.50M
480,Le criminel,(1946),Tous Public,95 min,"Crime, Drama, Film-Noir","7,3",,
481,La liste de Schindler,(1993),Tous publics,195 min,"Biography, Drama, History","9,0",1 382 532,$96.90M
482,Braveheart,(1995),Tous publics,178 min,"Biography, Drama, History","8,4",1 054 244,$75.60M
483,Sardar Udham,(2021),16,164 min,"Biography, Crime, Drama","8,4",,
484,Hamilton,(2020),12,160 min,"Biography, Drama, History","8,3",,
485,Ayla,(2017),,125 min,"Biography, Drama, History","8,3",,
486,La chute,(2004),Tous publics avec avertissement,156 min,"Biography, Drama, History","8,2",361 879,$5.51M
487,La Grande Évasion,(1963),Tous publics,172 min,"Adventure, Drama, History","8,2",249 148,$12.10M
488,La passion de Jeanne d'Arc,(1928),Not Rated,110 min,"Biography, Drama, History","8,2",57 157,$0.02M
489,Uri: The Surgical Strike,(2019),,138 min,"Action, Drama, History","8,2",66 889,$4.19M
490,Tu ne tueras point,(2016),12,139 min,"Biography, Drama, History","8,1",547 817,$67.21M
491,Procès de singe,(1960),Tous Public,128 min,"Biography, Drama, History","8,1",,
492,12 Years a Slave,(2013),Tous publics avec avertissement,134 min,"Biography, Drama, History","8,1",714 700,$56.67M
493,Hôtel Rwanda,(2004),Tous Public,121 min,"Biography, Drama, History","8,1",361 493,$23.53M
494,Le message,(1976),Tous Public,177 min,"Biography, Drama, History","8,1",,
495,Andreï Roublev,(1966),,205 min,"Biography, Drama, History","8,1",55 133,$0.10M
496,Le discours d'un roi,(2010),Tous publics,118 min,"Biography, Drama, History","8,0",691 149,$138.80M
497,JFK,(1991),Tous publics,189 min,"Drama, History, Thriller","8,0",161 656,$70.41M
498,Ip man,(2008),12,106 min,"Action, Biography, Drama","8,0",,
499,Gandhi,(1982),Tous publics,191 min,"Biography, Drama, History","8,0",236 063,$52.77M
500,Le Guépard,(1963),Tous publics,186 min,"Drama, History","8,0",,
501,La Voix d'Aida,(2020),Tous publics,101 min,"Drama, History, War","8,0",,
502,Persepolis,(2007),Tous publics,96 min,"Animation, Biography, Drama","8,0",96 987,$4.45M
503,Spartacus,(1960),Tous publics,197 min,"Adventure, Biography, Drama","7,9",138 331,$30.00M
504,All the President's Men,(1976),Tous publics,138 min,"Drama, History, Thriller","7,9",119 893,$70.60M
505,Les dix commandements,(1956),Tous Public,220 min,"Adventure, Drama, Family","7,9",74 253,$93.74M
506,Togo,(2019),Tous Public,113 min,"Adventure, Biography, Drama","7,9",,
507,Lettres d'Iwo Jima,(2006),Tous publics,141 min,"Action, Adventure, Drama","7,9",166 058,$13.76M
508,Le lion en hiver,(1968),Tous publics,134 min,"Biography, Drama, History","7,9",32 549,$22.28M
509,A Taxi Driver,(2017),12,137 min,"Action, Drama, History","7,9",27 205,$1.53M
510,De sang-froid,(1967),12,134 min,"Biography, Crime, Drama","7,9",,
511,Kagemusha : L'Ombre du guerrier,(1980),Tous publics,180 min,"Drama, History, War","7,9",,
512,Le cuirassé Potemkine,(1925),Tous publics,75 min,"Drama, History, Thriller","7,9",59 423,$0.05M
513,Airlift,(2016),Tous publics,130 min,"Action, Drama, History","7,9",,
514,Tombstone,(1993),Tous publics,130 min,"Biography, Drama, History","7,8",155 496,$56.51M
515,Dunkerque,(2017),Tous publics,106 min,"Action, Drama, History","7,8",680 609,$188.37M
516,The Big Short: Le casse du siècle,(2015),Tous publics,130 min,"Biography, Comedy, Drama","7,8",445 851,$70.26M
517,Les Figures de l'ombre,(2016),Tous publics,127 min,"Biography, Drama, History","7,8",240 052,$169.61M
518,L'étoffe des héros,(1983),Tous publics,193 min,"Adventure, Biography, Drama","7,8",63 134,$21.50M
519,Glory,(1989),Tous publics,122 min,"Biography, Drama, History","7,8",138 604,$26.83M
520,N.W.A: Straight Outta Compton,(2015),Tous publics avec avertissement,147 min,"Biography, Drama, History","7,8",208 660,$161.20M
521,La déchirure,(1984),12,141 min,"Biography, Drama, History","7,8",57 149,$34.70M
522,L'échange,(2008),Tous publics,141 min,"Biography, Crime, Drama","7,8",259 670,$35.74M
523,Pride,(I) (2014),Tous publics,119 min,"Biography, Comedy, Drama","7,8",,
524,"Aguirre, la colère de Dieu",(1972),Tous publics,95 min,"Action, Adventure, Biography","7,8",,
525,Les oubliés,(2015),Tous publics avec avertissement,100 min,"Drama, History, War","7,8",43 153,$0.44M
526,The Kerala Story,(2023),,138 min,"Drama, History","7,7",,
527,La chute du faucon noir,(2001),12,144 min,"Action, Drama, History","7,7",406 284,$108.64M
528,Apollo 13,(I) (1995),Tous publics,140 min,"Adventure, Drama, History","7,7",302 847,$173.84M
529,Les Sept de Chicago,(2020),16,129 min,"Drama, History, Thriller","7,7",,
530,Malcolm X,(1992),Tous publics,202 min,"Biography, Drama, History","7,7",97 953,$48.17M
531,Alien - Le 8ème passager,(1979),12,117 min,"Horror, Sci-Fi","8,5",901 600,$78.90M
532,Psychose,(1960),18,109 min,"Horror, Mystery, Thriller","8,5",686 325,$32.00M
533,Shining,(1980),12,146 min,"Drama, Horror","8,4",1 046 806,$44.02M
534,The Thing,(1982),13,109 min,"Horror, Mystery, Sci-Fi","8,2",437 594,$13.78M
535,Tumbbad,(2018),,104 min,"Drama, Fantasy, Horror","8,2",,
536,L'Exorciste,(1973),18,122 min,Horror,"8,1",420 269,$232.91M
537,Les diaboliques,(1955),Tous publics,117 min,"Crime, Drama, Horror","8,1",67 298,$1.09M
538,Rosemary's Baby,(1968),12,137 min,"Drama, Horror","8,0",,
539,Qu'est-il arrivé à Baby Jane?,(1962),12,134 min,"Drama, Horror, Thriller","8,0",58 709,$4.05M
540,Le cabinet du docteur Caligari,(1920),Tous publics,78 min,"Horror, Mystery, Thriller","8,0",,
541,The Blue Elephant,(2014),,170 min,"Drama, Horror, Mystery","8,0",,
542,Shaun of the Dead,(2004),12,99 min,"Comedy, Horror","7,9",570 383,$13.54M
543,Morse,(2008),12,114 min,"Drama, Fantasy, Horror","7,9",221 259,$2.12M
544,Nosferatu le vampire,(1922),Tous publics,94 min,"Fantasy, Horror","7,9",,
545,"King Kong, la huitième merveille du monde",(1933),Tous publics,100 min,"Adventure, Horror, Sci-Fi","7,9",87 774,$10.00M
546,Predator,(1987),12,107 min,"Action, Adventure, Horror","7,8",433 658,$59.74M
547,J'ai rencontré le diable,(2010),16 avec avertissement,144 min,"Action, Crime, Drama","7,8",136 720,$0.13M
548,Zombie : Le Crépuscule des morts-vivants,(1978),X,127 min,"Horror, Thriller","7,8",124 040,$5.10M
549,La Nuit des morts-vivants,(1968),18,96 min,"Horror, Thriller","7,8",133 067,$0.09M
550,Freaks - La monstrueuse parade,(1932),Tous publics,64 min,"Drama, Horror","7,8",48 215,$0.63M
551,Frankenstein,(1931),Tous publics,70 min,"Drama, Horror, Sci-Fi","7,8",,
552,Les Innocents,(1961),12,100 min,Horror,"7,8",31 574,$2.62M
553,La fiancée de Frankenstein,(1935),Tous Public,75 min,"Drama, Horror, Sci-Fi","7,8",50 455,$4.36M
554,Get Out,(I) (2017),12,104 min,"Horror, Mystery, Thriller","7,7",638 857,$176.04M
555,Evil Dead 2,(1987),13,84 min,"Comedy, Horror","7,7",172 503,$5.92M
556,La Nuit des masques,(1978),16,91 min,"Horror, Thriller","7,7",288 232,$47.00M
557,L'invasion des profanateurs de sépultures,(1956),Tous publics,80 min,"Drama, Horror, Sci-Fi","7,7",,
558,American Psycho,(2000),16,102 min,"Crime, Drama, Horror","7,6",653 717,$15.07M
559,Saw,(2004),16 avec avertissement,103 min,"Horror, Mystery, Thriller","7,6",434 435,$56.00M
560,Dernier train pour Busan,(2016),12,118 min,"Action, Horror, Thriller","7,6",233 709,$2.13M
561,Bienvenue à Zombieland,(2009),Tous publics,88 min,"Action, Comedy, Horror","7,6",594 293,$75.59M
562,Les Oiseaux,(1963),13,119 min,"Drama, Horror, Mystery","7,6",195 608,$11.40M
563,La Mouche,(1986),13,96 min,"Drama, Horror, Sci-Fi","7,6",190 546,$40.46M
564,Les autres,(2001),12,101 min,"Horror, Mystery, Thriller","7,6",376 075,$96.52M
565,Vampires en toute intimité,(2014),Tous publics,86 min,"Comedy, Horror","7,6",189 882,$3.33M
566,La piel que habito,(2011),Tous publics,120 min,"Drama, Horror, Mystery","7,6",158 004,$3.19M
567,Les yeux sans visage,(1960),16,90 min,"Drama, Horror","7,6",33 187,$0.05M
568,Répulsion,(1965),16,105 min,"Drama, Horror, Thriller","7,6",,
569,Le voyeur,(1960),Tous publics,101 min,"Drama, Horror, Thriller","7,6",37 100,$0.08M
570,Ne coupez pas!,(2017),Tous publics avec avertissement,96 min,"Comedy, Drama, Horror","7,6",,
571,L'Homme invisible,(1933),Tous publics,71 min,"Horror, Sci-Fi","7,6",,
572,Vampire Hunter D: Bloodlust,(2000),Tous publics,103 min,"Animation, Action, Drama","7,6",33 401,$0.15M
573,Conjuring: Les dossiers Warren,(2013),12,112 min,"Horror, Mystery, Thriller","7,5",523 735,$137.40M
574,The Wicker Man,(1973),Tous publics avec avertissement,88 min,"Horror, Mystery, Thriller","7,5",84 776,$0.06M
575,Sans un bruit,(2018),12,90 min,"Drama, Horror, Sci-Fi","7,5",547 922,$188.02M
576,The Crow,(1994),16,102 min,"Action, Crime, Drama","7,5",190 038,$50.69M
577,28 jours plus tard,(2002),16,113 min,"Drama, Horror, Sci-Fi","7,5",424 415,$45.06M
578,Entretien avec un vampire,(1994),12,123 min,"Drama, Fantasy, Horror","7,5",332 134,$105.26M
579,Le Loup-garou de Londres,(1981),13,97 min,"Comedy, Horror","7,5",112 602,$30.57M
580,Braindead,(1992),16,104 min,"Comedy, Fantasy, Horror","7,5",99 924,$0.24M
581,Whiplash,(2014),Tous publics,106 min,"Drama, Music","8,5",901 237,$13.09M
582,Le pianiste,(2002),Tous publics,150 min,"Biography, Drama, Music","8,5",853 992,$32.57M
583,Coco,(I) (2017),Tous publics,105 min,"Animation, Adventure, Comedy","8,4",531 894,$209.73M
584,Amadeus,(1984),Tous publics,160 min,"Biography, Drama, Music","8,4",409 107,$51.97M
585,Green Book: Sur les routes du sud,(2018),Tous publics,130 min,"Biography, Comedy, Drama","8,2",517 122,$85.08M
586,Certains l'aiment chaud,(1959),12,121 min,"Comedy, Music, Romance","8,2",272 709,$25.00M
587,Les chaussons rouges,(1948),Tous Public,135 min,"Drama, Music, Romance","8,1",36 752,$10.90M
588,"Adieu, ma concubine",(1993),Tous publics,171 min,"Drama, Music, Romance","8,1",30 739,$5.22M
589,Sonate d'automne,(1978),Tous publics,99 min,"Drama, Music","8,1",,
590,CODA,(2021),13,111 min,"Comedy, Drama, Music","8,0",,
591,La La Land,(2016),Tous publics,128 min,"Comedy, Drama, Music","8,0",613 707,$151.10M
592,Soul,(2020),6+,100 min,"Animation, Adventure, Comedy","8,0",,
593,Pink Floyd: The Wall,(1982),12,95 min,"Drama, Fantasy, Music","8,0",82 891,$22.24M
594,La légende du pianiste sur l'océan,(1998),Tous publics,169 min,"Drama, Music, Romance","8,0",66 487,$0.26M
595,Presque célèbre,(2000),Tous publics,122 min,"Adventure, Comedy, Drama","7,9",283 162,$32.53M
596,Bohemian Rhapsody,(2018),Tous publics,134 min,"Biography, Drama, Music","7,9",554 858,$216.43M
597,Spinal Tap,(1984),Tous publics,82 min,"Comedy, Music","7,9",142 675,$4.74M
598,Les Blues Brothers,(1980),Tous publics,133 min,"Action, Adventure, Comedy","7,9",205 580,$57.23M
599,Sing Street,(2016),Tous publics,106 min,"Comedy, Drama, Music","7,9",97 131,$3.24M
600,Trois couleurs: Bleu,(1993),Tous publics,94 min,"Drama, Music, Mystery","7,9",105 864,$1.32M
601,Gully Boy,(2019),,154 min,"Drama, Music, Romance","7,9",41 227,$5.57M
602,Walk the Line,(2005),Tous publics,136 min,"Biography, Drama, Music","7,8",257 009,$119.52M
603,N.W.A: Straight Outta Compton,(2015),Tous publics avec avertissement,147 min,"Biography, Drama, History","7,8",208 660,$161.20M
604,Once,(I) (2007),Tous publics,86 min,"Drama, Music, Romance","7,8",118 696,$9.44M
605,Cabaret,(1972),Tous publics,124 min,"Drama, Music, Musical","7,8",57 037,$42.77M
606,Que le spectacle commence...,(1979),Tous publics,123 min,"Drama, Music, Musical","7,8",33 369,$37.82M
607,Les choristes,(2004),Tous publics,97 min,"Comedy, Drama, Music","7,8",64 494,$3.64M
608,Une nuit à l'opéra,(1935),Tous Public,96 min,"Comedy, Music, Musical","7,8",33 662,$2.54M
609,Secret Superstar,(2017),Tous publics,150 min,"Drama, Music","7,8",,
610,O' Brother,(2000),Tous publics,107 min,"Adventure, Comedy, Crime","7,7",319 579,$45.51M
611,Sound of Metal,(2019),Tous publics,120 min,"Drama, Music","7,7",,
612,Ray,(I) (2004),Tous publics,152 min,"Biography, Drama, Music","7,7",151 770,$75.33M
613,Billy Elliot,(2000),Tous publics,110 min,"Drama, Music","7,7",138 273,$22.00M
614,Fantasia,(1940),Tous publics,124 min,"Animation, Family, Fantasy","7,7",99 591,$76.41M
615,Hedwig and the Angry Inch,(2001),Tous publics,95 min,"Comedy, Drama, Music","7,7",36 445,$3.03M
616,La double vie de Véronique,(1991),R,98 min,"Drama, Fantasy, Music","7,7",50 642,$2.00M
617,Alabama Monroe,(2012),Tous publics,111 min,"Drama, Music, Romance","7,7",41 986,$0.18M
618,Les triplettes de Belleville,(2003),Tous publics,80 min,"Animation, Adventure, Comedy","7,7",55 670,$7.00M
619,Rockstar,(2011),,159 min,"Drama, Music, Romance","7,7",46 228,$0.99M
620,Joyeux Noël,(2005),Tous publics,116 min,"Drama, History, Music","7,7",30 752,$1.05M
621,Baby Driver,(2017),Tous publics avec avertissement,113 min,"Action, Crime, Drama","7,6",564 723,$107.83M
622,A Star is Born,(2018),Tous publics,136 min,"Drama, Music, Romance","7,6",396 843,$215.29M
623,Les Commitments,(1991),R,118 min,"Comedy, Drama, Music","7,6",36 890,$14.92M
624,Nashville,(1975),Tous publics,160 min,"Comedy, Drama, Music","7,6",27 328,$14.82M
625,Control,(2007),Tous publics,122 min,"Biography, Drama, Music","7,6",66 889,$0.87M
626,La Môme,(2007),Tous publics,140 min,"Biography, Drama, Music","7,6",88 767,$10.30M
627,Shine,(1996),Tous publics,105 min,"Biography, Drama, Music","7,6",55 261,$35.81M
628,Le violon rouge,(1998),Tous publics,140 min,"Drama, Music, Mystery","7,6",33 724,$9.47M
629,Tár,(2022),Tous publics,158 min,"Drama, Music","7,5",,
630,La Pianiste,(2001),16,131 min,"Drama, Music","7,5",67 518,$1.90M
631,Le Roi Lion,(1994),Tous publics,88 min,"Animation, Adventure, Drama","8,5",1 082 777,$422.78M
632,Hamilton,(2020),12,160 min,"Biography, Drama, History","8,3",,
633,Chantons sous la pluie,(1952),Tous publics,103 min,"Comedy, Musical, Romance","8,3",248 483,$8.82M
634,On ne vit qu'une seule fois,(2011),,155 min,"Comedy, Drama, Musical","8,2",81 196,$3.11M
635,"Swades: Nous, le peuple",(2004),,210 min,"Drama, Musical","8,2",93 502,$1.22M
636,Le magicien d'Oz,(1939),Tous publics,102 min,"Adventure, Family, Fantasy","8,1",409 654,$2.08M
637,La mélodie du bonheur,(1965),Tous publics,172 min,"Biography, Drama, Family","8,1",244 080,$163.21M
638,Lagaan,(2001),Tous publics,224 min,"Drama, Musical, Sport","8,1",116 802,$0.07M
639,Sholay,(1975),,204 min,"Action, Adventure, Comedy","8,1",,
640,Anand,(1971),,122 min,"Drama, Musical","8,1",,
641,La La Land,(2016),Tous publics,128 min,"Comedy, Drama, Music","8,0",613 707,$151.10M
642,Aladdin,(1992),Tous publics,90 min,"Animation, Adventure, Comedy","8,0",435 318,$217.35M
643,La Belle et la Bête,(1991),Tous publics,84 min,"Animation, Family, Fantasy","8,0",463 590,$218.97M
644,Un violon sur le toit,(1971),Tous Public,181 min,"Drama, Family, Musical","8,0",45 334,$80.50M
645,Les Blues Brothers,(1980),Tous publics,133 min,"Action, Adventure, Comedy","7,9",205 580,$57.23M
646,L'étrange Noël de monsieur Jack,(1993),Tous publics,76 min,"Animation, Family, Fantasy","7,9",351 048,$75.08M
647,Dancer in the Dark,(2000),Tous publics,140 min,"Crime, Drama, Musical","7,9",112 881,$4.18M
648,New York masala,(2003),Tous publics,186 min,"Comedy, Drama, Musical","7,9",71 790,$1.79M
649,Willy Wonka au pays enchanté,(1971),Tous publics,100 min,"Family, Fantasy, Musical","7,8",208 872,$4.00M
650,Mary Poppins,(1964),Tous publics,139 min,"Comedy, Family, Fantasy","7,8",178 142,$102.27M
651,My Fair Lady,(1964),Tous Public,170 min,"Drama, Family, Musical","7,8",98 322,$72.00M
652,Cabaret,(1972),Tous publics,124 min,"Drama, Music, Musical","7,8",57 037,$42.77M
653,Que le spectacle commence...,(1979),Tous publics,123 min,"Drama, Music, Musical","7,8",33 369,$37.82M
654,Les parapluies de Cherbourg,(1964),Tous publics,91 min,"Drama, Musical, Romance","7,8",29 083,$0.03M
655,Soupe au canard,(1933),Tous publics,69 min,"Comedy, Musical","7,8",,
656,Une nuit à l'opéra,(1935),Tous Public,96 min,"Comedy, Music, Musical","7,8",33 662,$2.54M
657,Veer-Zaara,(2004),7,192 min,"Drama, Family, Musical","7,8",54 837,$2.92M
658,Raiponce,(2010),Tous publics,100 min,"Animation, Adventure, Comedy","7,7",467 981,$200.82M
659,"South Park, le film - Plus long, plus grand et pas coupé",(1999),12,81 min,"Animation, Comedy, Fantasy","7,7",209 481,$52.04M
660,Fantasia,(1940),Tous publics,124 min,"Animation, Family, Fantasy","7,7",99 591,$76.41M
