ID;Nom;Année de sortie;Classification;Durée (min);Genre1;Genre2;Genre3
456;Le faucon maltais;1941;Tous publics;100;Crime; Film-Noir; Mystery
457;La nuit du chasseur;1955;Tous publics;92;Crime; Drama; Film-Noir
458;La griffe du passé;1947;Tous publics;97;Crime; Drama; Film-Noir
459;La soif du mal;1958;Tous publics;95;Crime; Drama; Film-Noir
460;Le Grand Chantage;1957;Tous publics;96;Drama; Film-Noir;
461;Le roman de Mildred Pierce;1945;Tous publics;111;Crime; Drama; Film-Noir
462;L'ultime razzia;1956;Tous publics;84;Crime; Drama; Film-Noir
463;L'Inconnu du Nord-Express;1951;16;101;Crime; Drama; Film-Noir
464;Les enchaînés;1946;Tous publics;102;Drama; Film-Noir; Romance
465;Le grand sommeil;1946;Tous publics;114;Crime; Film-Noir; Mystery
466;Laura;1944;Tous publics;88;Drama; Film-Noir; Mystery
467;Le violent;1950;12;94;Drama; Film-Noir; Mystery
468;Le poison;1945;Tous publics;101;Drama; Film-Noir;
469;Règlement de comptes;1953;;89;Crime; Film-Noir; Thriller
470;Le port de l'angoisse;1944;Tous publics;100;Adventure; Comedy; Film-Noir
471;L'ombre d'un doute;1943;Tous publics;108;Film-Noir; Thriller;
472;Quand la ville dort;1950;16;112;Crime; Drama; Film-Noir
473;Key Largo;1948;;100;Action; Crime; Drama
474;Scarface;1932;Tous publics;93;Action; Crime; Drama
475;Gilda;1946;Tous publics;110;Drama; Film-Noir; Romance
476;La Maison du docteur Edwardes;1945;Tous publics;111;Film-Noir; Mystery; Romance
477;La dame de Shanghai;1947;;87;Crime; Drama; Film-Noir
478;Le faux coupable;1956;;105;Drama; Film-Noir;
479;Soupçons;1941;Tous publics;99;Film-Noir; Mystery; Thriller
480;Le criminel;1946;Tous publics;95;Crime; Drama; Film-Noir
481;La liste de Schindler;1993;Tous publics;195;Biography; Drama; History
482;Braveheart;1995;Tous publics;178;Biography; Drama; History
483;Sardar Udham;2021;16;164;Biography; Crime; Drama
484;Hamilton;2020;12;160;Biography; Drama; History
485;Ayla;2017;;125;Biography; Drama; History
486;La chute;2004;Tous publics avec avertissement;156;Biography; Drama; History
487;La Grande Évasion;1963;Tous publics;172;Adventure; Drama; History
488;La passion de Jeanne d'Arc;1928;Not Rated;110;Biography; Drama; History
489;Uri: The Surgical Strike;2019;;138;Action; Drama; History
490;Tu ne tueras point;2016;12;139;Biography; Drama; History
491;Procès de singe;1960;Tous publics;128;Biography; Drama; History
492;12 Years a Slave;2013;Tous publics avec avertissement;134;Biography; Drama; History
493;Hôtel Rwanda;2004;Tous publics;121;Biography; Drama; History
494;Le message;1976;Tous publics;177;Biography; Drama; History
495;Andreï Roublev;1966;;205;Biography; Drama; History
496;Le discours d'un roi;2010;Tous publics;118;Biography; Drama; History
497;JFK;1991;Tous publics;189;Drama; History; Thriller
498;Ip man;2008;12;106;Action; Biography; Drama
499;Gandhi;1982;Tous publics;191;Biography; Drama; History
500;Le Guépard;1963;Tous publics;186;Drama; History;
501;La Voix d'Aida;2020;Tous publics;101;Drama; History; War
502;Persepolis;2007;Tous publics;96;Animation; Biography; Drama
503;Spartacus;1960;Tous publics;197;Adventure; Biography; Drama
504;All the President's Men;1976;Tous publics;138;Drama; History; Thriller
505;Les dix commandements;1956;Tous publics;220;Adventure; Drama; Family
506;Togo;2019;Tous publics;113;Adventure; Biography; Drama
507;Lettres d'Iwo Jima;2006;Tous publics;141;Action; Adventure; Drama
508;Le lion en hiver;1968;Tous publics;134;Biography; Drama; History
509;A Taxi Driver;2017;12;137;Action; Drama; History
510;De sang-froid;1967;12;134;Biography; Crime; Drama
511;Kagemusha : L'Ombre du guerrier;1980;Tous publics;180;Drama; History; War
512;Le cuirassé Potemkine;1925;Tous publics;75;Drama; History; Thriller
513;Airlift;2016;Tous publics;130;Action; Drama; History
514;Tombstone;1993;Tous publics;130;Biography; Drama; History
515;Dunkerque;2017;Tous publics;106;Action; Drama; History
516;The Big Short: Le casse du siècle;2015;Tous publics;130;Biography; Comedy; Drama
517;Les Figures de l'ombre;2016;Tous publics;127;Biography; Drama; History
518;L'étoffe des héros;1983;Tous publics;193;Adventure; Biography; Drama
519;Glory;1989;Tous publics;122;Biography; Drama; History
520;N.W.A: Straight Outta Compton;2015;Tous publics avec avertissement;147;Biography; Drama; History
521;La déchirure;1984;12;141;Biography; Drama; History
522;L'échange;2008;Tous publics;141;Biography; Crime; Drama
523;Pride;2014;Tous publics;119;Biography; Comedy; Drama
524;Aguirre, la colère de Dieu;1972;Tous publics;95;Action; Adventure; Biography
525;Les oubliés;2015;Tous publics avec avertissement;100;Drama; History; War
526;The Kerala Story;2023;;138;Drama; History;
527;La chute du faucon noir;2001;12;144;Action; Drama; History
528;Apollo 13;1995;Tous publics;140;Adventure; Drama; History
529;Les Sept de Chicago;2020;16;129;Drama; History; Thriller
530;Malcolm X;1992;Tous publics;202;Biography; Drama; History
531;Alien - Le 8ème passager;1979;12;117;Horror; Sci-Fi;
532;Psychose;1960;18;109;Horror; Mystery; Thriller
533;Shining;1980;12;146;Drama; Horror;
534;The Thing;1982;13;109;Horror; Mystery; Sci-Fi
535;Tumbbad;2018;;104;Drama; Fantasy; Horror
536;L'Exorciste;1973;18;122;Horror;;
537;Les diaboliques;1955;Tous publics;117;Crime; Drama; Horror
538;Rosemary's Baby;1968;12;137;Drama; Horror;
539;Qu'est-il arrivé à Baby Jane?;1962;12;134;Drama; Horror; Thriller
540;Le cabinet du docteur Caligari;1920;Tous publics;78;Horror; Mystery; Thriller
541;The Blue Elephant;2014;;170;Drama; Horror; Mystery
542;Shaun of the Dead;2004;12;99;Comedy; Horror;
543;Morse;2008;12;114;Drama; Fantasy; Horror
544;Nosferatu le vampire;1922;Tous publics;94;Fantasy; Horror;
545;King Kong, la huitième merveille du monde;1933;Tous publics;100;Adventure; Horror; Sci-Fi
546;Predator;1987;12;107;Action; Adventure; Horror
547;J'ai rencontré le diable;2010;16 avec avertissement;144;Action; Crime; Drama
548;Zombie : Le Crépuscule des morts-vivants;1978;X;127;Horror; Thriller;
549;La Nuit des morts-vivants;1968;18;96;Horror; Thriller;
550;Freaks - La monstrueuse parade;1932;Tous publics;64;Drama; Horror;
551;Frankenstein;1931;Tous publics;70;Drama; Horror; Sci-Fi
552;Les Innocents;1961;12;100;Horror;;
553;La fiancée de Frankenstein;1935;Tous publics;75;Drama; Horror; Sci-Fi
554;Get Out;2017;12;104;Horror; Mystery; Thriller
555;Evil Dead 2;1987;13;84;Comedy; Horror;
556;La Nuit des masques;1978;16;91;Horror; Thriller;
557;L'invasion des profanateurs de sépultures;1956;Tous publics;80;Drama; Horror; Sci-Fi
558;American Psycho;2000;16;102;Crime; Drama; Horror
559;Saw;2004;16 avec avertissement;103;Horror; Mystery; Thriller
560;Dernier train pour Busan;2016;12;118;Action; Horror; Thriller
561;Bienvenue à Zombieland;2009;Tous publics;88;Action; Comedy; Horror
562;Les Oiseaux;1963;13;119;Drama; Horror; Mystery
563;La Mouche;1986;13;96;Drama; Horror; Sci-Fi
564;Les autres;2001;12;101;Horror; Mystery; Thriller
565;Vampires en toute intimité;2014;Tous publics;86;Comedy; Horror;
566;La piel que habito;2011;Tous publics;120;Drama; Horror; Mystery
567;Les yeux sans visage;1960;16;90;Drama; Horror;
568;Répulsion;1965;16;105;Drama; Horror; Thriller
569;Le voyeur;1960;Tous publics;101;Drama; Horror; Thriller
570;Ne coupez pas!;2017;Tous publics avec avertissement;96;Comedy; Drama; Horror
571;L'Homme invisible;1933;Tous publics;71;Horror; Sci-Fi;
572;Vampire Hunter D: Bloodlust;2000;Tous publics;103;Animation; Action; Drama
573;Conjuring: Les dossiers Warren;2013;12;112;Horror; Mystery; Thriller
574;The Wicker Man;1973;Tous publics avec avertissement;88;Horror; Mystery; Thriller
575;Sans un bruit;2018;12;90;Drama; Horror; Sci-Fi
576;The Crow;1994;16;102;Action; Crime; Drama
577;28 jours plus tard;2002;16;113;Drama; Horror; Sci-Fi
578;Entretien avec un vampire;1994;12;123;Drama; Fantasy; Horror
579;Le Loup-garou de Londres;1981;13;97;Comedy; Horror;
580;Braindead;1992;16;104;Comedy; Fantasy; Horror
581;Whiplash;2014;Tous publics;106;Drama; Music;
582;Le pianiste;2002;Tous publics;150;Biography; Drama; Music
583;Coco;2017;Tous publics;105;Animation; Adventure; Comedy
584;Amadeus;1984;Tous publics;160;Biography; Drama; Music
585;Green Book: Sur les routes du sud;2018;Tous publics;130;Biography; Comedy; Drama
586;Certains l'aiment chaud;1959;12;121;Comedy; Music; Romance
587;Les chaussons rouges;1948;Tous publics;135;Drama; Music; Romance
588;Adieu, ma concubine;1993;Tous publics;171;Drama; Music; Romance
589;Sonate d'automne;1978;Tous publics;99;Drama; Music;
590;CODA;2021;13;111;Comedy; Drama; Music
591;La La Land;2016;Tous publics;128;Comedy; Drama; Music
592;Soul;2020;6;100;Animation; Adventure; Comedy
593;Pink Floyd: The Wall;1982;12;95;Drama; Fantasy; Music
594;La légende du pianiste sur l'océan;1998;Tous publics;169;Drama; Music; Romance
595;Presque célèbre;2000;Tous publics;122;Adventure; Comedy; Drama
596;Bohemian Rhapsody;2018;Tous publics;134;Biography; Drama; Music
597;Spinal Tap;1984;Tous publics;82;Comedy; Music;
598;Les Blues Brothers;1980;Tous publics;133;Action; Adventure; Comedy
599;Sing Street;2016;Tous publics;106;Comedy; Drama; Music
600;Trois couleurs: Bleu;1993;Tous publics;94;Drama; Music; Mystery
601;Gully Boy;2019;;154;Drama; Music; Romance
602;Walk the Line;2005;Tous publics;136;Biography; Drama; Music
603;N.W.A: Straight Outta Compton;2015;Tous publics avec avertissement;147;Biography; Drama; History
604;Once;2007;Tous publics;86;Drama; Music; Romance
605;Cabaret;1972;Tous publics;124;Drama; Music; Musical
606;Que le spectacle commence...;1979;Tous publics;123;Drama; Music; Musical
607;Les choristes;2004;Tous publics;97;Comedy; Drama; Music
608;Une nuit à l'opéra;1935;Tous publics;96;Comedy; Music; Musical
609;Secret Superstar;2017;Tous publics;150;Drama; Music;
610;O' Brother;2000;Tous publics;107;Adventure; Comedy; Crime
611;Sound of Metal;2019;Tous publics;120;Drama; Music;
612;Ray;2004;Tous publics;152;Biography; Drama; Music
613;Billy Elliot;2000;Tous publics;110;Drama; Music;
614;Fantasia;1940;Tous publics;124;Animation; Family; Fantasy
615;Hedwig and the Angry Inch;2001;Tous publics;95;Comedy; Drama; Music
616;La double vie de Véronique;1991;R;98;Drama; Fantasy; Music
617;Alabama Monroe;2012;Tous publics;111;Drama; Music; Romance
618;Les triplettes de Belleville;2003;Tous publics;80;Animation; Adventure; Comedy
619;Rockstar;2011;;159;Drama; Music; Romance
620;Joyeux Noël;2005;Tous publics;116;Drama; History; Music
621;Baby Driver;2017;Tous publics avec avertissement;113;Action; Crime; Drama
622;A Star is Born;2018;Tous publics;136;Drama; Music; Romance
623;Les Commitments;1991;R;118;Comedy; Drama; Music
