ID;Nom;Année de sortie;Classification;Durée (min);Note;Nombre de votant;Revenus;Genre1;Genre2;Genre3
261;La cité de Dieu;2002;16;130;8,6;769 658;$7.56M;Crime; Drama;
262;Léon;1994;12;110;8,5;1 186 803;$19.50M;Action; Crime; Drama
263;Les infiltrés;2006;Tous publics avec avertissement;151;8,5;1 353 433;$132.38M;Crime; Drama; Thriller
264;Usual Suspects;1995;Tous publics;106;8,5;1 102 763;$23.34M;Crime; Drama; Mystery
265;American History X;1998;12;119;8,5;1 141 545;$6.72M;Crime; Drama;
266;Joker;2019;12 avec avertissement;122;8,4;1 349 046;$335.45M;Crime; Drama; Thriller
267;Témoin à charge;1957;Tous publics;116;8,4;129 227;$8.18M;Crime; Drama; Mystery
268;Kaithi;2019;18;145;8,4;;;Action; Adventure; Crime
269;Entre le ciel et l'enfer;1963;Tous publics;143;8,4;;;Crime; Drama; Mystery
270;Sardar Udham;2021;16;164;8,4;;;Biography; Crime; Drama
271;Drishyam 2;2021;13;152;8,4;;;Crime; Drama; Thriller
272;Heat;1995;Tous publics avec avertissement;170;8,3;672 968;$67.44M;Action; Crime; Drama
273;Scarface;1983;13;170;8,3;864 017;$45.60M;Crime; Drama;
274;Orange mécanique;1971;18;136;8,3;846 488;$6.21M;Crime; Sci-Fi;
275;Reservoir Dogs;1992;16;99;8,3;1 041 006;$2.83M;Crime; Thriller;
276;Il était une fois en Amérique;1984;Tous publics;229;8,3;359 591;$5.32M;Crime; Drama;
277;Du silence et des ombres...;1962;12;129;8,3;;;Crime; Drama;
278;L'Arnaque;1973;Tous publics;129;8,3;269 163;$159.60M;Comedy; Crime; Drama
279;M le maudit;1931;Tous publics;118;8,3;161 461;$0.03M;Crime; Mystery; Thriller
280;Assurance sur la mort;1944;Tous publics;107;8,3;160 581;$5.72M;Crime; Drama; Film-Noir
281;K.G.F: Chapter 2;2022;13;168;8,3;139 278;$6.60M;Action; Crime; Drama
282;Vikram;2022;;175;8,3;;;Action; Crime; Thriller
283;Ratsasan;2018;;170;8,3;;;Action; Crime; Drama
284;Drishyam;2013;;160;8,3;;;Crime; Drama; Thriller
285;John Wick: Chapitre 4;2023;12;169;8,2;;;Action; Crime; Thriller
286;Le loup de Wall Street;2013;12;180;8,2;1 458 625;$116.90M;Biography; Comedy; Crime
287;Taxi Driver;1976;16;114;8,2;861 504;$28.26M;Crime; Drama;
288;No Country for Old Men;2007;12;122;8,2;999 284;$74.28M;Crime; Drama; Thriller
289;Snatch - Tu braques ou tu raques;2000;Tous publics;104;8,2;872 553;$30.33M;Comedy; Crime;
290;Casino;1995;12;178;8,2;533 499;$42.44M;Crime; Drama;
291;Kill Bill: Volume I;2003;16;111;8,2;1 138 718;$70.10M;Action; Crime; Drama
292;Batman Begins;2005;Tous publics;140;8,2;1 500 330;$206.85M;Action; Crime; Drama
293;L.A. Confidential;1997;Tous publics;138;8,2;592 351;$64.62M;Crime; Drama; Mystery
294;Drishyam 2;2022;13;140;8,2;;;Crime; Drama; Mystery
295;Rashomon;1950;Tous publics;88;8,2;172 437;$0.10M;Crime; Drama; Mystery
296;Le crime était presque parfait;1954;Tous publics;105;8,2;180 261;$0.01M;Crime; Thriller;
297;Z;1969;Tous publics;127;8,2;29 926;$0.08M;Crime; Drama; Thriller
298;Drishyam;2015;18;163;8,2;88 293;$0.74M;Crime; Drama; Mystery
299;Andhadhun;2018;;139;8,2;96 902;$1.37M;Crime; Mystery; Thriller
300;Les Évadés;1994;Tous publics avec avertissement;142;9,3;2 739 193;$28.34M;Drama;;
301;Le Parrain;1972;12;175;9,2;1 904 825;$134.97M;Crime; Drama;
302;Hababam Sinifi;1975;;87;9,2;;;Comedy; Drama;
303;The Dark Knight : Le Chevalier noir;2008;Tous publics;152;9,0;2 712 245;$534.86M;Action; Crime; Drama
304;La liste de Schindler;1993;Tous publics;195;9,0;1 382 532;$96.90M;Biography; Drama; History
305;Le Parrain, 2ᵉ partie;1974;13;202;9,0;1 298 312;$57.30M;Crime; Drama;
306;12 Hommes en colère;1957;Tous publics;96;9,0;810 784;$4.36M;Crime; Drama;
307;Le Seigneur des anneaux : Le Retour du roi;2003;Tous publics avec avertissement;201;9,0;1 883 515;$377.85M;Action; Adventure; Drama
308;Pulp Fiction;1994;12;154;8,9;2 104 943;$107.93M;Crime; Drama;
309;Le Seigneur des anneaux : La Communauté de l'anneau;2001;Tous publics;178;8,8;1 912 302;$315.54M;Action; Adventure; Drama
310;Fight Club;1999;16;139;8,8;2 181 210;$37.03M;Drama;;
311;Forrest Gump;1994;Tous publics;142;8,8;2 131 456;$330.25M;Drama; Romance;
312;Le Seigneur des anneaux : Les Deux Tours;2002;Tous publics avec avertissement;179;8,8;1 700 210;$342.55M;Action; Adventure; Drama
313;Jai Bhim;2021;;164;8,8;;;Crime; Drama; Mystery
314;777 Charlie;2022;;164;8,8;;;Adventure; Comedy; Drama
315;Rocketry: The Nambi Effect;2022;;157;8,8;;;Biography; Drama;
316;Les affranchis;1990;16;145;8,7;1 188 870;$46.84M;Biography; Crime; Drama
317;Vol au-dessus d'un nid de coucou;1975;Tous publics avec avertissement;133;8,7;1 026 961;$112.00M;Drama;;
318;The Kashmir Files;2022;;170;8,7;;;Drama;;
319;Soorarai Pottru;2020;18;153;8,7;;;Action; Drama;
320;Interstellar;2014;Tous publics;169;8,6;1 903 425;$188.02M;Adventure; Drama; Sci-Fi
